fn,total ops,total mult,dram total,dram limb rd,dram limb wr,dram key rd,"total cycles (slow, worst case)","total cycles (slow, best case)",funits,logq,dnum,cache_size
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,1118711181.3333333,1118711181.3333333,12,46,3,12812288
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,1032661363.0769231,1032661363.0769231,13,46,3,12812288
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,958904376.0,958904376.0,14,46,3,12812288
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,894981653.8666668,894981653.8666668,15,46,3,12812288
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1604039080.8000002,1604039080.8000002,10,46,4,10551296
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1458224161.8181818,1458224161.8181818,11,46,4,10551296
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1336711729.3333335,1336711729.3333335,12,46,4,10551296
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1233893517.2307694,1233893517.2307694,13,46,4,10551296
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1145763621.142857,1145763621.142857,14,46,4,10551296
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1069384377.8666668,1069384377.8666668,15,46,4,10551296
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1811232742.3999999,1811232742.3999999,10,46,5,8290304
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1646583074.9090908,1646583074.9090908,11,46,5,8290304
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1509375018.6666667,1509375018.6666667,12,46,5,8290304
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1393275894.153846,1393275894.153846,13,46,5,8290304
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1293762358.857143,1293762358.857143,14,46,5,8290304
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1207517294.9333334,1207517294.9333334,15,46,5,8290304
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1983143460.0000002,1983143460.0000002,10,46,6,7536640
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1802866584.3636363,1802866584.3636363,11,46,6,7536640
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1652635854.6666667,1652635854.6666667,12,46,6,7536640
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1525517544.9230769,1525517544.9230769,13,46,6,7536640
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1416558993.7142856,1416558993.7142856,14,46,6,7536640
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1322128249.3333335,1322128249.3333335,15,46,6,7536640
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,1047274797.6000001,1047274797.6000001,10,47,2,16941056
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,952072735.6363637,952072735.6363637,11,47,2,16941056
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,872737684.0,872737684.0,12,47,2,16941056
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,805608024.9230769,805608024.9230769,13,47,2,16941056
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,748068317.1428571,748068317.1428571,14,47,2,16941056
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,698200570.3999999,698200570.3999999,15,47,2,16941056
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,1342440708.8,1342440708.8,10,47,3,13090816
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,1220406421.0909092,1220406421.0909092,11,47,3,13090816
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,1118711181.3333333,1118711181.3333333,12,47,3,13090816
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,1032661363.0769231,1032661363.0769231,13,47,3,13090816
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,958904376.0,958904376.0,14,47,3,13090816
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,894981653.8666668,894981653.8666668,15,47,3,13090816
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1556074920.7999997,1556074920.7999997,10,47,4,10010624
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1414620380.0,1414620380.0,11,47,4,10010624
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1296741596.0,1296741596.0,12,47,4,10010624
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1196998009.5384617,1196998009.5384617,13,47,4,10010624
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1111503506.857143,1111503506.857143,14,47,4,10010624
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1037408271.2000002,1037408271.2000002,15,47,4,10010624
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1758215756.8,1758215756.8,10,47,5,8470528
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1598385815.2727275,1598385815.2727275,11,47,5,8470528
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1465194197.3333335,1465194197.3333335,12,47,5,8470528
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1352493597.5384617,1352493597.5384617,13,47,5,8470528
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1255893083.4285715,1255893083.4285715,14,47,5,8470528
bootstrap,144382230528,64277708800,75128963072.0,25403883520.0,14657093632.0,35067985920.0,1172172637.8666666,1172172637.8666666,15,47,5,8470528
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1932377636.0000002,1932377636.0000002,10,47,6,7700480
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1756715835.2727275,1756715835.2727275,11,47,6,7700480
